Year,County,Birthweight Type,Total Births,Events,Percent,Lower 95% CI,Upper 95% CI,,,
2016,Alpine,Low Birthweight,7,,,,,,,
2016,Amador,Low Birthweight,307,24,7.8,5.3,11.4,,,
2016,Butte,Low Birthweight,2491,137,5.5,4.7,6.5,,,
2016,Calaveras,Low Birthweight,374,23,6.1,4.1,9.1,,,
2016,Colusa,Low Birthweight,316,22,7,4.6,10.3,,,
2016,Contra Costa,Low Birthweight,12343,850,6.9,6.5,7.3,,,
2016,Del Norte,Low Birthweight,309,21,6.8,4.5,10.2,,,
2016,El Dorado,Low Birthweight,1601,107,6.7,5.6,8,,,
2016,Fresno,Low Birthweight,15128,1073,7.1,6.7,7.5,,,
2016,Glenn,Low Birthweight,379,17,4.5,2.8,7.1,,,
2016,Humboldt,Low Birthweight,1491,101,6.8,5.6,8.2,,,
2016,Imperial,Low Birthweight,2989,177,5.9,5.1,6.8,,,
2016,Inyo,Low Birthweight,182,,,,,,,
2016,Kern,Low Birthweight,13726,1030,7.5,7.1,8,,,
2016,Kings,Low Birthweight,2248,150,6.7,5.7,7.8,,,
2016,Lake,Low Birthweight,749,43,5.7,4.3,7.6,,,
2016,Lassen,Low Birthweight,306,24,7.8,5.3,11.4,,,
2016,Los Angeles,Low Birthweight,122915,8764,7.1,7,7.3,,,
2016,Madera,Low Birthweight,2355,165,7,6,8.1,,,
2016,Marin,Low Birthweight,2255,131,5.8,4.9,6.9,,,
2016,Mariposa,Low Birthweight,148,,,,,,,
2016,Mendocino,Low Birthweight,1024,74,7.2,5.8,9,,,
2016,Merced,Low Birthweight,4117,242,5.9,5.2,6.6,,,
2016,Modoc,Low Birthweight,97,,,,,,,
2016,Mono,Low Birthweight,131,,,,,,,
2016,Monterey,Low Birthweight,6222,360,5.8,5.2,6.4,,,
2016,Napa,Low Birthweight,1407,79,5.6,4.5,6.9,,,
2016,Nevada,Low Birthweight,782,41,5.2,3.9,7,,,
2016,Orange,Low Birthweight,38120,2396,6.3,6,6.5,,,
2016,Placer,Low Birthweight,3733,201,5.4,4.7,6.2,,,
2016,Plumas,Low Birthweight,169,15,8.9,5.5,14.1,,,
2016,Riverside,Low Birthweight,30673,2136,7,6.7,7.3,,,
